Organization Group,Job,Total Compensation
Public Protection,Deputy Sheriff,152481.96
Human Welfare & Neighborhood Development,Executive Secretary 2,117317.63
Public Protection,Deputy Sheriff,166130.08
"Public Works, Transportation & Commerce",Transit Operator,108778.02
Public Protection,IS Business Analyst-Senior,41492.76
"Public Works, Transportation & Commerce",Transit Operator,61368.22
Public Protection,Police Officer 3,182012.26
Community Health,Senior Occupational Therapist,179183.78
"Public Works, Transportation & Commerce",Engineering Associate 1,41332.5
Human Welfare & Neighborhood Development,Protective Services Worker,10533.78
"Public Works, Transportation & Commerce",Junior Engineer,107990.7
General Administration & Finance,Custodian,28040.18
Community Health,"Marriage, Family & Child Cnslr",132994.59
Community Health,Therapy Aide,84091.23
Public Protection,Superior Court Judge,14206.48
Public Protection,Personnel Analyst,130051.72
Community Health,X-Ray Laboratory Aide,123279.82
Public Protection,Firefighter,115468.69
General Administration & Finance,IT Operations Support Admn III,125422.38
"Public Works, Transportation & Commerce",Electrical Transit System Mech,190261.7
Public Protection,Police Officer,191186.99
"Public Works, Transportation & Commerce",IS Engineer-Senior,189494.51
General Administration & Finance,Senior Clerk,47221.26
Culture & Recreation,Volunteer/Outreach Coord,93444.34
Community Health,Special Nurse,51948.86
"Public Works, Transportation & Commerce",Dep Dir IV,248851.13
"Public Works, Transportation & Commerce",Transit Operator,103896.75
"Public Works, Transportation & Commerce",Water Operations Analyst,211601.43
Public Protection,Police Officer 3,264291.2
"Public Works, Transportation & Commerce","Stdntdsgntrain1, Arch/Eng/Plng",16366.99
"Public Works, Transportation & Commerce",Sign Worker,99556.55
"Public Works, Transportation & Commerce",Custodial Assistant Supervisor,98211.79
"Public Works, Transportation & Commerce",Automotive Machinist,106846.95
"Public Works, Transportation & Commerce",Personnel Clerk,32866.25
Community Health,Porter,60368.76
Public Protection,Incident Support Specialist,265390.67
Public Protection,Sergeant 3,195150.49
"Public Works, Transportation & Commerce",Junior Administrative Analyst,15372.71
Community Health,Occupational Therapist,154122.75
Community Health,Patient Care Assistant,66139.71
Public Protection,Deputy Court Clerk III,132148.91
"Public Works, Transportation & Commerce",PS Aide To Prof,26390.11
Human Welfare & Neighborhood Development,Protective Services Worker,138662.55
Public Protection,Deputy Sheriff,35579.63
Community Health,Senior Physician Specialist,244011.99
"Public Works, Transportation & Commerce",Manager II,142067.56
"Public Works, Transportation & Commerce",PS Aide To Prof,57759.85
Public Protection,"Counselor, Family Court Svc",159151.19
"Public Works, Transportation & Commerce",Public Relations Assistant,78195.11
Community Health,Plumber,146312.73
Community Health,Senior Physician Specialist,210371.78
"Public Works, Transportation & Commerce",Senior Administrative Analyst,143600.97
Community Health,Health Care Billing Clerk 1,84336.0
Public Protection,Fingerprint Technician 2,110348.0
Public Protection,Police Officer 3,220765.84
Community Health,Unit Clerk,64833.99
"Public Works, Transportation & Commerce",Transit Operator,78256.42
General Administration & Finance,Executive Secretary 1,108763.11
"Public Works, Transportation & Commerce",Secretary 2,100972.56
Community Health,Food Service Worker,81858.6
"Public Works, Transportation & Commerce",Painter,109288.52
Community Health,Porter,18761.23
General Administration & Finance,Attorney (Civil/Criminal),248578.77
"Public Works, Transportation & Commerce",Engineer,185162.97
Public Protection,Firefighter,237079.19
Community Health,X-Ray Laboratory Aide,104126.21
"Public Works, Transportation & Commerce",Transit Operator,122328.63
"Public Works, Transportation & Commerce",Executive Secretary 2,117417.74
"Public Works, Transportation & Commerce",Materials Testing Aide,49453.21
"Public Works, Transportation & Commerce",Assoc Engineer,127285.18
"Public Works, Transportation & Commerce",Electronic Maintenance Tech,176930.14
"Public Works, Transportation & Commerce",Transit Operations Specialist,178231.84
General Administration & Finance,Commercial Div Asst Sprv,116228.7
Human Welfare & Neighborhood Development,Clerk,63125.04
Public Protection,Sr District Atty Investigator,184313.89
"Public Works, Transportation & Commerce",Automotive Body & Fender Wrk,161949.65
Community Health,Senior Clerk,76541.87
Culture & Recreation,Library Page,72188.87
Culture & Recreation,Librarian 1,41502.47
Culture & Recreation,Gardener,15895.7
Community Health,Epidemiologist 2,145096.16
Public Protection,Deputy Sheriff,196089.53
"Public Works, Transportation & Commerce",Transit Operator,109548.79
Community Health,Nurse Manager,91388.07
"Public Works, Transportation & Commerce",Training Officer,27760.26
Public Protection,Sergeant 3,213964.43
General Administration & Finance,Project Manager 1,33259.9
General Administration & Finance,"Cfdntal Chf Atty 2,(Cvl&Crmnl)",322303.31
Culture & Recreation,Security Guard,34167.59
General Administration & Finance,Manager V,50228.06
"Public Works, Transportation & Commerce",Transit Power Line Worker,130181.13
Culture & Recreation,Gardener,104193.48
"Public Works, Transportation & Commerce",Curator 2,30854.56
Human Welfare & Neighborhood Development,Protective Services Worker,140451.33
"Public Works, Transportation & Commerce",Transit Operator,118631.48
Community Health,Registered Nurse,220077.22
Community Health,Registered Nurse,202221.85
Community Health,Health Worker 3,36476.67
"Public Works, Transportation & Commerce",Custodian,80560.49
"Public Works, Transportation & Commerce",IS Engineer-Journey,42873.22
Human Welfare & Neighborhood Development,HSA Social Worker,92002.82
Community Health,Health Care Billing Clerk 2,104235.05
Human Welfare & Neighborhood Development,Senior Administrative Analyst,119025.01
Community Health,Registered Nurse,197283.2
Public Protection,Police Officer 2,170539.16
"Public Works, Transportation & Commerce",Secretary 2,100716.21
"Public Works, Transportation & Commerce",Manager V,230021.98
Public Protection,Deputy Sheriff,152694.81
Human Welfare & Neighborhood Development,Senior Eligibility Worker,39748.03
General Administration & Finance,IS Business Analyst,67766.77
"Public Works, Transportation & Commerce",Transit Operator,75104.47
General Administration & Finance,Clerk,77826.32
Community Health,Health Worker 2,91844.55
"Public Works, Transportation & Commerce",Junior Engineer,11953.2
Human Welfare & Neighborhood Development,Eligibility Worker Supervisor,160657.04
"Public Works, Transportation & Commerce",Fare Collections Receiver,96783.24
"Public Works, Transportation & Commerce",Assoc Engineer,159197.46
Human Welfare & Neighborhood Development,Human Services Technician,95752.22
Public Protection,Stationary Engineer,21683.47
Culture & Recreation,Curator 2,104392.87
Community Health,Diagnostic Imaging Tech III,247158.65
"Public Works, Transportation & Commerce",Sr Community Devl Spc 1,129252.33
Community Health,Patient Care Assistant,114596.25
Human Welfare & Neighborhood Development,Clerk,14745.63
Community Health,Diagnostic Imaging Tech I,174058.08
Community Health,IS Business Analyst-Senior,78615.41
"Public Works, Transportation & Commerce",Automotive Machinist Sprv 1,88084.26
Culture & Recreation,Gardener,89718.33
"Public Works, Transportation & Commerce",Transit Operator,11014.16
"Public Works, Transportation & Commerce",Disability Access Coordinator,208484.45
Public Protection,EMT Paramedic,26254.96
Culture & Recreation,Senior Management Assistant,91363.58
Culture & Recreation,Library Page,38027.19
Public Protection,Firefighter,230842.2
Culture & Recreation,Library Technical Assistant 1,28124.89
Public Protection,Firefighter,181047.26
Community Health,Registered Nurse,203192.42
Public Protection,Sergeant 3,198668.46
"Public Works, Transportation & Commerce",Transit Operator,112734.91
Public Protection,"Lieutenant, Fire Suppression",230598.1
General Administration & Finance,Principal Clerk,90817.8
Public Protection,Sr District Atty Investigator,114371.97
"Public Works, Transportation & Commerce",Transit Car Cleaner,103461.69
Community Health,Nurse Practitioner,15446.02
Community Health,Registered Nurse,126645.44
Culture & Recreation,Recreation Leader,20712.15
Community Health,Special Nurse,55339.43
Community Health,Senior Physician Specialist,260159.13
"Public Works, Transportation & Commerce",Transit Operator,61669.67
Public Protection,Senior Administrative Analyst,143745.04
Public Protection,Police Officer 3,23656.59
Public Protection,Community Police Services Aide,98949.88
"Public Works, Transportation & Commerce",Transit Operator,119807.59
Community Health,Registered Nurse,192931.51
Community Health,Registered Nurse,88057.92
Culture & Recreation,Recreation Leader,18786.5
"Public Works, Transportation & Commerce","Manager VII, MTA",255654.77
"Public Works, Transportation & Commerce",Asphalt Finisher,47308.02
Community Health,Psychiatric Social Worker,145517.36
Community Health,Registered Nurse,182302.74
"Public Works, Transportation & Commerce",Statnry Eng Water Treat Plant,144916.55
Community Health,Porter,16616.43
"Public Works, Transportation & Commerce",Maintenance Machinist,138242.53
"Public Works, Transportation & Commerce",Engineer,193481.27
Community Health,Microbiologist,24148.9
Human Welfare & Neighborhood Development,Public Service Trainee,10364.65
Culture & Recreation,Stationary Engineer,51180.68
Public Protection,EMT/Paramedic/Firefighter,278287.88
General Administration & Finance,Personal Property Auditor,22082.42
Culture & Recreation,Manager I,149058.63
Community Health,Manager I,172149.5
Community Health,Porter,36160.09
General Administration & Finance,Manager I,32442.92
Public Protection,Police Officer 3,67555.75
Public Protection,Senior Clerk Typist,93438.95
Public Protection,Deputy Sheriff,159846.86
Culture & Recreation,Librarian 1,107991.14
Human Welfare & Neighborhood Development,Senior Eligibility Worker,123640.41
Community Health,Senior Clerk,97537.75
Community Health,Health Worker 2,85643.35
"Public Works, Transportation & Commerce",Publ Svc Aide-Asst To Prof,13058.03
Public Protection,Planner 1,50979.05
Community Health,Nursing Assistant,80489.95
Public Protection,Police Officer 2,145755.87
General Administration & Finance,Legal Secretary 1,115014.04
Public Protection,Public Safetycomm Disp,137000.22
General Administration & Finance,Public Service Trainee,11093.41
Culture & Recreation,Recreation Leader,11883.12
"Public Works, Transportation & Commerce",Custodian,92616.57
General Administration & Finance,Pr Real Property Appraiser,164550.73
"Public Works, Transportation & Commerce",Truck Driver,122617.8
Public Protection,Senior Legal Process Clerk,102650.65
General Administration & Finance,IS Business Analyst-Senior,60700.81
"Public Works, Transportation & Commerce",Transit Supervisor,105386.67
Community Health,Porter Supervisor 1,111632.23
General Administration & Finance,Executive Secretary 2,74385.54
Community Health,Porter,92163.57
Community Health,Registered Nurse,95040.16
Community Health,Special Nurse,72927.24
Human Welfare & Neighborhood Development,Employment & Training Spec 1,88687.75
Culture & Recreation,Library Assistant,47547.84
Public Protection,IT Operations Support Admin IV,149762.86
"Public Works, Transportation & Commerce",IT Operations Support Admin IV,127770.29
Community Health,PS Aide Health Services,26499.75
Community Health,Registered Nurse,179550.2
"Public Works, Transportation & Commerce",Pr Administrative Analyst,157671.37
Community Health,Senior Medical Social Worker,139867.72
"Public Works, Transportation & Commerce",Airport Security ID Technician,49219.35
General Administration & Finance,Communications Systems Tech,10014.38
Public Protection,Firefighter,192919.97
"Public Works, Transportation & Commerce",Dep Dir V,290563.71
"Public Works, Transportation & Commerce",Electrical Transit System Mech,139323.21
Human Welfare & Neighborhood Development,HSA Social Worker,116551.96
"Public Works, Transportation & Commerce",Engineer/Architect Principal,264666.05
